Rank,NOC,Gold,Silver,Bronze,Total,Year,Events_Participated,NA,ER,HE,Score,Score_Lag1,Score_Lag2,AP,Mundlak_ER,Mundlak_NM,Const
80,Albania,0,0,2,2,2024,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,2.0,1
42,Algeria,0,0,2,2,1984,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,4.75,1
34,Algeria,1,0,1,2,1992,0.0,0.0,0.0,0,4,2.0,0.0,2.0,0.0,4.75,1
34,Algeria,2,0,1,3,1996,0.0,0.0,0.0,0,7,4.0,2.0,6.0,0.0,4.75,1
42,Algeria,1,1,3,5,2000,0.0,0.0,0.0,0,8,7.0,4.0,11.0,0.0,4.75,1
68,Algeria,0,1,1,2,2008,0.0,0.0,0.0,0,3,8.0,7.0,15.0,0.0,4.75,1
50,Algeria,1,0,0,1,2012,0.0,0.0,0.0,0,3,3.0,8.0,11.0,0.0,4.75,1
63,Algeria,0,2,0,2,2016,0.0,0.0,0.0,0,4,3.0,3.0,6.0,0.0,4.75,1
39,Algeria,2,0,1,3,2024,0.0,0.0,0.0,0,7,4.0,3.0,7.0,0.0,4.75,1
16,Argentina,1,3,2,6,1924,0.0,0.0,0.0,0,11,0.0,0.0,0.0,0.0,7.2105263157894735,1
12,Argentina,3,3,1,7,1928,0.0,0.0,0.0,0,16,11.0,0.0,11.0,0.0,7.2105263157894735,1
14,Argentina,2,2,3,7,1936,0.0,0.0,0.0,0,13,16.0,11.0,27.0,0.0,7.2105263157894735,1
13,Argentina,3,3,1,7,1948,0.0,0.0,0.0,0,16,13.0,16.0,29.0,0.0,7.2105263157894735,1
19,Argentina,1,2,2,5,1952,0.0,0.0,0.0,0,9,16.0,13.0,29.0,0.0,7.2105263157894735,1
29,Argentina,0,1,1,2,1956,0.0,0.0,0.0,0,3,9.0,16.0,25.0,0.0,7.2105263157894735,1
30,Argentina,0,1,0,1,1964,0.0,0.0,0.0,0,2,3.0,9.0,12.0,0.0,7.2105263157894735,1
41,Argentina,0,0,2,2,1968,0.0,0.0,0.0,0,2,2.0,3.0,5.0,0.0,7.2105263157894735,1
33,Argentina,0,1,0,1,1972,0.0,0.0,0.0,0,2,2.0,2.0,4.0,0.0,7.2105263157894735,1
35,Argentina,0,1,1,2,1988,0.0,0.0,0.0,0,3,2.0,2.0,4.0,0.0,7.2105263157894735,1
54,Argentina,0,0,1,1,1992,0.0,0.0,0.0,0,1,3.0,2.0,5.0,0.0,7.2105263157894735,1
54,Argentina,0,2,1,3,1996,0.0,0.0,0.0,0,5,1.0,3.0,4.0,0.0,7.2105263157894735,1
57,Argentina,0,2,2,4,2000,0.0,0.0,0.0,0,6,5.0,1.0,6.0,0.0,7.2105263157894735,1
38,Argentina,2,0,4,6,2004,0.0,0.0,0.0,0,10,6.0,5.0,11.0,0.0,7.2105263157894735,1
35,Argentina,2,0,4,6,2008,0.0,0.0,0.0,0,10,10.0,6.0,16.0,0.0,7.2105263157894735,1
42,Argentina,1,1,2,4,2012,0.0,0.0,0.0,0,7,10.0,10.0,20.0,0.0,7.2105263157894735,1
26,Argentina,3,1,0,4,2016,0.0,0.0,0.0,0,11,7.0,10.0,17.0,0.0,7.2105263157894735,1
72,Argentina,0,1,2,3,2020,0.0,0.0,0.0,0,4,11.0,7.0,18.0,0.0,7.2105263157894735,1
52,Argentina,1,1,1,3,2024,0.0,0.0,0.0,0,6,4.0,11.0,15.0,0.0,7.2105263157894735,1
45,Armenia,1,1,0,2,1996,0.0,0.0,0.0,0,5,0.0,0.0,0.0,0.0,5.285714285714286,1
71,Armenia,0,0,1,1,2000,0.0,0.0,0.0,0,1,5.0,0.0,5.0,0.0,5.285714285714286,1
62,Armenia,0,1,4,5,2008,0.0,0.0,0.0,0,6,1.0,5.0,6.0,0.0,5.285714285714286,1
65,Armenia,0,1,1,2,2012,0.0,0.0,0.0,0,3,6.0,1.0,7.0,0.0,5.285714285714286,1
42,Armenia,1,3,0,4,2016,0.0,0.0,0.0,0,9,3.0,6.0,9.0,0.0,5.285714285714286,1
69,Armenia,0,2,2,4,2020,0.0,0.0,0.0,0,6,9.0,3.0,12.0,0.0,5.285714285714286,1
66,Armenia,0,3,1,4,2024,0.0,0.0,0.0,0,7,6.0,9.0,15.0,0.0,5.285714285714286,1
8,Australia,2,0,0,2,1896,0.0,0.0,0.0,0,6,0.0,0.0,0.0,0.0,42.23076923076923,1
9,Australia,2,0,3,5,1900,0.0,0.0,0.0,0,9,6.0,0.0,6.0,0.0,42.23076923076923,1
12,Australia,0,3,1,4,1904,0.0,0.0,0.0,0,7,9.0,6.0,15.0,0.0,42.23076923076923,1
16,Australia,0,2,1,3,1920,0.0,0.0,0.0,0,5,7.0,9.0,16.0,0.0,42.23076923076923,1
11,Australia,3,1,2,6,1924,0.0,0.0,0.0,0,13,5.0,7.0,12.0,0.0,42.23076923076923,1
19,Australia,1,2,1,4,1928,0.0,0.0,0.0,0,8,13.0,5.0,18.0,0.0,42.23076923076923,1
30,Australia,0,0,1,1,1936,0.0,0.0,0.0,0,1,8.0,13.0,21.0,0.0,42.23076923076923,1
14,Australia,2,6,5,13,1948,0.0,0.0,0.0,0,23,1.0,8.0,9.0,0.0,42.23076923076923,1
9,Australia,6,2,3,11,1952,0.0,0.0,0.0,0,25,23.0,1.0,24.0,0.0,42.23076923076923,1
3,Australia,13,8,14,35,1956,0.0,0.0,0.0,0,69,25.0,23.0,48.0,0.0,42.23076923076923,1
8,Australia,6,2,10,18,1964,0.0,0.0,0.0,0,32,69.0,25.0,94.0,0.0,42.23076923076923,1
9,Australia,5,7,5,17,1968,0.0,0.0,0.0,0,34,32.0,69.0,101.0,0.0,42.23076923076923,1
6,Australia,8,7,2,17,1972,0.0,0.0,0.0,0,40,34.0,32.0,66.0,0.0,42.23076923076923,1
32,Australia,0,1,4,5,1976,0.0,0.0,0.0,0,6,40.0,34.0,74.0,0.0,42.23076923076923,1
15,Australia,2,2,5,9,1980,0.0,0.0,0.0,0,15,6.0,40.0,46.0,0.0,42.23076923076923,1
14,Australia,4,8,12,24,1984,0.0,0.0,0.0,0,40,15.0,6.0,21.0,0.0,42.23076923076923,1
15,Australia,3,6,5,14,1988,0.0,0.0,0.0,0,26,40.0,15.0,55.0,0.0,42.23076923076923,1
10,Australia,7,9,11,27,1992,0.0,0.0,0.0,0,50,26.0,40.0,66.0,0.0,42.23076923076923,1
7,Australia,9,9,23,41,1996,0.0,0.0,0.0,0,68,50.0,26.0,76.0,0.0,42.23076923076923,1
4,Australia,16,25,17,58,2000,0.0,0.0,0.0,0,115,68.0,50.0,118.0,0.0,42.23076923076923,1
4,Australia,17,16,17,50,2004,0.0,0.0,0.0,0,100,115.0,68.0,183.0,0.0,42.23076923076923,1
6,Australia,14,15,17,46,2008,0.0,0.0,0.0,0,89,100.0,115.0,215.0,0.0,42.23076923076923,1
8,Australia,8,15,12,35,2012,0.0,0.0,0.0,0,66,89.0,100.0,189.0,0.0,42.23076923076923,1
10,Australia,8,11,10,29,2016,0.0,0.0,0.0,0,56,66.0,89.0,155.0,0.0,42.23076923076923,1
6,Australia,17,7,22,46,2020,0.0,0.0,0.0,0,87,56.0,66.0,122.0,0.0,42.23076923076923,1
4,Australia,18,19,16,53,2024,0.0,0.0,0.0,0,108,87.0,56.0,143.0,0.0,42.23076923076923,1
7,Austria,2,1,2,5,1896,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0,6.96,1
16,Austria,0,3,3,6,1900,0.0,0.0,0.0,0,9,10.0,0.0,10.0,0.0,6.96,1
8,Austria,1,1,1,3,1904,0.0,0.0,0.0,0,6,9.0,10.0,19.0,0.0,6.96,1
19,Austria,0,0,1,1,1908,0.0,0.0,0.0,0,1,6.0,9.0,15.0,0.0,6.96,1
17,Austria,0,2,2,4,1912,0.0,0.0,0.0,0,6,1.0,6.0,7.0,0.0,6.96,1
20,Austria,0,3,1,4,1924,0.0,0.0,0.0,0,7,6.0,1.0,7.0,0.0,6.96,1
18,Austria,2,0,1,3,1928,0.0,0.0,0.0,0,7,7.0,6.0,13.0,0.0,6.96,1
10,Austria,5,7,5,17,1936,0.0,0.0,0.0,0,34,7.0,7.0,14.0,0.0,6.96,1
21,Austria,1,0,3,4,1948,0.0,0.0,0.0,0,6,34.0,7.0,41.0,0.0,6.96,1
32,Austria,0,1,1,2,1952,0.0,0.0,0.0,0,3,6.0,34.0,40.0,0.0,6.96,1
34,Austria,0,0,2,2,1956,0.0,0.0,0.0,0,2,3.0,6.0,9.0,0.0,6.96,1
32,Austria,0,2,2,4,1968,0.0,0.0,0.0,0,6,2.0,3.0,5.0,0.0,6.96,1
31,Austria,0,1,2,3,1972,0.0,0.0,0.0,0,4,6.0,2.0,8.0,0.0,6.96,1
37,Austria,0,0,1,1,1976,0.0,0.0,0.0,0,1,4.0,6.0,10.0,0.0,6.96,1
21,Austria,1,2,1,4,1980,0.0,0.0,0.0,0,8,1.0,4.0,5.0,0.0,6.96,1
22,Austria,1,1,1,3,1984,0.0,0.0,0.0,0,6,8.0,1.0,9.0,0.0,6.96,1
29,Austria,1,0,0,1,1988,0.0,0.0,0.0,0,3,6.0,8.0,14.0,0.0,6.96,1
41,Austria,0,2,0,2,1992,0.0,0.0,0.0,0,4,3.0,6.0,9.0,0.0,6.96,1
57,Austria,0,1,2,3,1996,0.0,0.0,0.0,0,4,4.0,3.0,7.0,0.0,6.96,1
32,Austria,2,1,0,3,2000,0.0,0.0,0.0,0,8,4.0,4.0,8.0,0.0,6.96,1
27,Austria,2,4,1,7,2004,0.0,0.0,0.0,0,15,8.0,4.0,12.0,0.0,6.96,1
64,Austria,0,1,2,3,2008,0.0,0.0,0.0,0,4,15.0,8.0,23.0,0.0,6.96,1
78,Austria,0,0,1,1,2016,0.0,0.0,0.0,0,1,4.0,15.0,19.0,0.0,6.96,1
53,Austria,1,1,5,7,2020,0.0,0.0,0.0,0,10,1.0,4.0,5.0,0.0,6.96,1
36,Austria,2,0,3,5,2024,0.0,0.0,0.0,0,9,10.0,1.0,11.0,0.0,6.96,1
61,Azerbaijan,0,1,0,1,1996,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,11.25,1
34,Azerbaijan,2,0,1,3,2000,0.0,0.0,0.0,0,7,2.0,0.0,2.0,0.0,11.25,1
50,Azerbaijan,1,0,4,5,2004,0.0,0.0,0.0,0,7,7.0,2.0,9.0,0.0,11.25,1
40,Azerbaijan,1,1,4,6,2008,0.0,0.0,0.0,0,9,7.0,7.0,14.0,0.0,11.25,1
32,Azerbaijan,2,2,5,9,2012,0.0,0.0,0.0,0,15,9.0,7.0,16.0,0.0,11.25,1
39,Azerbaijan,1,7,10,18,2016,0.0,0.0,0.0,0,27,15.0,9.0,24.0,0.0,11.25,1
67,Azerbaijan,0,3,4,7,2020,0.0,0.0,0.0,0,10,27.0,15.0,42.0,0.0,11.25,1
30,Azerbaijan,2,2,3,7,2024,0.0,0.0,0.0,0,13,10.0,27.0,37.0,0.0,11.25,1
35,Bahamas,0,0,1,1,1956,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,3.4,1
24,Bahamas,1,0,0,1,1964,0.0,0.0,0.0,0,3,1.0,0.0,1.0,0.0,3.4,1
54,Bahamas,0,0,1,1,1992,0.0,0.0,0.0,0,1,3.0,1.0,4.0,0.0,3.4,1
61,Bahamas,0,1,0,1,1996,0.0,0.0,0.0,0,2,1.0,3.0,4.0,0.0,3.4,1
34,Bahamas,2,0,1,3,2000,0.0,0.0,0.0,0,7,2.0,1.0,3.0,0.0,3.4,1
52,Bahamas,1,0,1,2,2004,0.0,0.0,0.0,0,4,7.0,2.0,9.0,0.0,3.4,1
68,Bahamas,0,1,1,2,2008,0.0,0.0,0.0,0,3,4.0,7.0,11.0,0.0,3.4,1
50,Bahamas,1,0,0,1,2012,0.0,0.0,0.0,0,3,3.0,4.0,7.0,0.0,3.4,1
51,Bahamas,1,0,1,2,2016,0.0,0.0,0.0,0,4,3.0,3.0,6.0,0.0,3.4,1
42,Bahamas,2,0,0,2,2020,0.0,0.0,0.0,0,6,4.0,3.0,7.0,0.0,3.4,1
50,Bahrain,1,0,0,1,2012,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,4.75,1
48,Bahrain,1,1,0,2,2016,0.0,0.0,0.0,0,5,3.0,0.0,3.0,0.0,4.75,1
77,Bahrain,0,1,0,1,2020,0.0,0.0,0.0,0,2,5.0,3.0,8.0,0.0,4.75,1
33,Bahrain,2,1,1,4,2024,0.0,0.0,0.0,0,9,2.0,5.0,7.0,0.0,4.75,1
37,Belarus,1,6,8,15,1996,0.0,0.0,0.0,0,23,0.0,0.0,0.0,0.0,20.142857142857142,1
23,Belarus,3,3,11,17,2000,0.0,0.0,0.0,0,26,23.0,0.0,23.0,0.0,20.142857142857142,1
26,Belarus,2,5,6,13,2004,0.0,0.0,0.0,0,22,26.0,23.0,49.0,0.0,20.142857142857142,1
24,Belarus,3,4,7,14,2008,0.0,0.0,0.0,0,24,22.0,26.0,48.0,0.0,20.142857142857142,1
28,Belarus,2,5,3,10,2012,0.0,0.0,0.0,0,19,24.0,22.0,46.0,0.0,20.142857142857142,1
40,Belarus,1,4,4,9,2016,0.0,0.0,0.0,0,15,19.0,24.0,43.0,0.0,20.142857142857142,1
45,Belarus,1,3,3,7,2020,0.0,0.0,0.0,0,12,15.0,19.0,34.0,0.0,20.142857142857142,1
5,Belgium,6,7,4,17,1900,0.0,0.0,0.0,0,36,0.0,0.0,0.0,0.0,12.038461538461538,1
10,Belgium,1,5,2,8,1908,0.0,0.0,0.0,0,15,36.0,0.0,36.0,0.0,12.038461538461538,1
13,Belgium,2,1,3,6,1912,0.0,0.0,0.0,0,11,15.0,36.0,51.0,0.0,12.038461538461538,1
5,Belgium,14,11,11,36,1920,0.0,0.0,0.0,0,75,11.0,15.0,26.0,0.0,12.038461538461538,1
10,Belgium,3,7,3,13,1924,0.0,0.0,0.0,0,26,75.0,11.0,86.0,0.0,12.038461538461538,1
29,Belgium,0,1,2,3,1928,0.0,0.0,0.0,0,4,26.0,75.0,101.0,0.0,12.038461538461538,1
28,Belgium,0,0,3,3,1936,0.0,0.0,0.0,0,3,4.0,26.0,30.0,0.0,12.038461538461538,1
15,Belgium,2,2,3,7,1948,0.0,0.0,0.0,0,13,3.0,4.0,7.0,0.0,12.038461538461538,1
14,Belgium,2,2,0,4,1952,0.0,0.0,0.0,0,10,13.0,3.0,16.0,0.0,12.038461538461538,1
28,Belgium,0,2,0,2,1956,0.0,0.0,0.0,0,4,10.0,13.0,23.0,0.0,12.038461538461538,1
20,Belgium,2,0,1,3,1964,0.0,0.0,0.0,0,7,4.0,10.0,14.0,0.0,12.038461538461538,1
36,Belgium,0,1,1,2,1968,0.0,0.0,0.0,0,3,7.0,4.0,11.0,0.0,12.038461538461538,1
29,Belgium,0,2,0,2,1972,0.0,0.0,0.0,0,4,3.0,7.0,10.0,0.0,12.038461538461538,1
28,Belgium,0,3,3,6,1976,0.0,0.0,0.0,0,9,4.0,3.0,7.0,0.0,12.038461538461538,1
23,Belgium,1,0,0,1,1980,0.0,0.0,0.0,0,3,9.0,4.0,13.0,0.0,12.038461538461538,1
21,Belgium,1,1,2,4,1984,0.0,0.0,0.0,0,7,3.0,9.0,12.0,0.0,12.038461538461538,1
44,Belgium,0,0,2,2,1988,0.0,0.0,0.0,0,2,7.0,3.0,10.0,0.0,12.038461538461538,1
44,Belgium,0,1,2,3,1992,0.0,0.0,0.0,0,4,2.0,7.0,9.0,0.0,12.038461538461538,1
31,Belgium,2,2,2,6,1996,0.0,0.0,0.0,0,12,4.0,2.0,6.0,0.0,12.038461538461538,1
55,Belgium,0,2,3,5,2000,0.0,0.0,0.0,0,7,12.0,4.0,16.0,0.0,12.038461538461538,1
51,Belgium,1,0,2,3,2004,0.0,0.0,0.0,0,5,7.0,12.0,19.0,0.0,12.038461538461538,1
37,Belgium,2,0,0,2,2008,0.0,0.0,0.0,0,6,5.0,7.0,12.0,0.0,12.038461538461538,1
64,Belgium,0,1,2,3,2012,0.0,0.0,0.0,0,4,6.0,5.0,11.0,0.0,12.038461538461538,1
35,Belgium,2,2,2,6,2016,0.0,0.0,0.0,0,12,4.0,6.0,10.0,0.0,12.038461538461538,1
29,Belgium,3,1,3,7,2020,0.0,0.0,0.0,0,14,12.0,4.0,16.0,0.0,12.038461538461538,1
25,Belgium,3,1,6,10,2024,0.0,0.0,0.0,0,17,14.0,12.0,26.0,0.0,12.038461538461538,1
37,Bermuda,0,0,1,1,1976,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,2.0,1
63,Bermuda,1,0,0,1,2020,0.0,0.0,0.0,0,3,1.0,0.0,1.0,0.0,2.0,1
70,Botswana,0,1,0,1,2012,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,2.6666666666666665,1
86,Botswana,0,0,1,1,2020,0.0,0.0,0.0,0,1,2.0,0.0,2.0,0.0,2.6666666666666665,1
55,Botswana,1,1,0,2,2024,0.0,0.0,0.0,0,5,1.0,2.0,3.0,0.0,2.6666666666666665,1
15,Brazil,1,1,1,3,1920,0.0,0.0,0.0,0,6,0.0,0.0,0.0,0.0,14.85,1
34,Brazil,0,0,1,1,1948,0.0,0.0,0.0,0,1,6.0,0.0,6.0,0.0,14.85,1
24,Brazil,1,0,2,3,1952,0.0,0.0,0.0,0,5,1.0,6.0,7.0,0.0,14.85,1
24,Brazil,1,0,0,1,1956,0.0,0.0,0.0,0,3,5.0,1.0,6.0,0.0,14.85,1
35,Brazil,0,0,1,1,1964,0.0,0.0,0.0,0,1,3.0,5.0,8.0,0.0,14.85,1
35,Brazil,0,1,2,3,1968,0.0,0.0,0.0,0,4,1.0,3.0,4.0,0.0,14.85,1
41,Brazil,0,0,2,2,1972,0.0,0.0,0.0,0,2,4.0,1.0,5.0,0.0,14.85,1
36,Brazil,0,0,2,2,1976,0.0,0.0,0.0,0,2,2.0,4.0,6.0,0.0,14.85,1
17,Brazil,2,0,2,4,1980,0.0,0.0,0.0,0,8,2.0,2.0,4.0,0.0,14.85,1
19,Brazil,1,5,2,8,1984,0.0,0.0,0.0,0,15,8.0,2.0,10.0,0.0,14.85,1
24,Brazil,1,2,3,6,1988,0.0,0.0,0.0,0,10,15.0,8.0,23.0,0.0,14.85,1
25,Brazil,2,1,0,3,1992,0.0,0.0,0.0,0,8,10.0,15.0,25.0,0.0,14.85,1
25,Brazil,3,3,9,15,1996,0.0,0.0,0.0,0,24,8.0,10.0,18.0,0.0,14.85,1
53,Brazil,0,6,6,12,2000,0.0,0.0,0.0,0,18,24.0,8.0,32.0,0.0,14.85,1
16,Brazil,5,2,3,10,2004,0.0,0.0,0.0,0,22,18.0,24.0,42.0,0.0,14.85,1
23,Brazil,3,4,10,17,2008,0.0,0.0,0.0,0,27,22.0,18.0,40.0,0.0,14.85,1
22,Brazil,3,5,9,17,2012,0.0,0.0,0.0,0,28,27.0,22.0,49.0,0.0,14.85,1
13,Brazil,7,6,6,19,2016,0.0,0.0,0.0,0,39,28.0,27.0,55.0,0.0,14.85,1
12,Brazil,7,6,8,21,2020,0.0,0.0,0.0,0,41,39.0,28.0,67.0,0.0,14.85,1
20,Brazil,3,7,10,20,2024,0.0,0.0,0.0,0,33,41.0,39.0,80.0,0.0,14.85,1
40,Bulgaria,0,0,1,1,1952,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,24.823529411764707,1
19,Bulgaria,1,3,1,5,1956,0.0,0.0,0.0,0,10,1.0,0.0,1.0,0.0,24.823529411764707,1
11,Bulgaria,3,5,2,10,1964,0.0,0.0,0.0,0,21,10.0,1.0,11.0,0.0,24.823529411764707,1
18,Bulgaria,2,4,3,9,1968,0.0,0.0,0.0,0,17,21.0,10.0,31.0,0.0,24.823529411764707,1
9,Bulgaria,6,10,5,21,1972,0.0,0.0,0.0,0,43,17.0,21.0,38.0,0.0,24.823529411764707,1
7,Bulgaria,6,9,7,22,1976,0.0,0.0,0.0,0,43,43.0,17.0,60.0,0.0,24.823529411764707,1
3,Bulgaria,8,16,17,41,1980,0.0,0.0,0.0,0,73,43.0,43.0,86.0,0.0,24.823529411764707,1
7,Bulgaria,10,12,13,35,1988,0.0,0.0,0.0,0,67,73.0,43.0,116.0,0.0,24.823529411764707,1
18,Bulgaria,3,7,6,16,1992,0.0,0.0,0.0,0,29,67.0,73.0,140.0,0.0,24.823529411764707,1
22,Bulgaria,3,7,5,15,1996,0.0,0.0,0.0,0,28,29.0,67.0,96.0,0.0,24.823529411764707,1
16,Bulgaria,5,6,2,13,2000,0.0,0.0,0.0,0,29,28.0,29.0,57.0,0.0,24.823529411764707,1
33,Bulgaria,2,1,9,12,2004,0.0,0.0,0.0,0,17,29.0,28.0,57.0,0.0,24.823529411764707,1
42,Bulgaria,1,1,3,5,2008,0.0,0.0,0.0,0,8,17.0,29.0,46.0,0.0,24.823529411764707,1
60,Bulgaria,0,2,1,3,2012,0.0,0.0,0.0,0,5,8.0,17.0,25.0,0.0,24.823529411764707,1
66,Bulgaria,0,1,2,3,2016,0.0,0.0,0.0,0,4,5.0,8.0,13.0,0.0,24.823529411764707,1
30,Bulgaria,3,1,2,6,2020,0.0,0.0,0.0,0,13,4.0,5.0,9.0,0.0,24.823529411764707,1
26,Bulgaria,3,1,3,7,2024,0.0,0.0,0.0,0,14,13.0,4.0,17.0,0.0,24.823529411764707,1
86,Burkina Faso,0,0,1,1,2020,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,1.0,1
4,CHN,15,8,9,32,1984,105.0,215.0,0.21341463414634146,0,70,0.0,0.0,0.0,0.2829449611979792,141.72727272727272,1
11,CHN,5,11,12,28,1988,150.0,271.0,0.2840909090909091,0,49,70.0,0.0,70.0,0.2829449611979792,141.72727272727272,1
4,CHN,16,22,16,54,1992,144.0,243.0,0.2513089005235602,0,108,49.0,70.0,119.0,0.2829449611979792,141.72727272727272,1
4,CHN,16,22,12,50,1996,155.0,289.0,0.25662251655629137,0,104,108.0,49.0,157.0,0.2829449611979792,141.72727272727272,1
3,CHN,28,16,14,58,2000,163.0,266.0,0.24437781109445278,0,130,104.0,108.0,212.0,0.2829449611979792,141.72727272727272,1
2,CHN,32,17,14,63,2004,204.0,372.0,0.30493273542600896,0,144,130.0,104.0,234.0,0.2829449611979792,141.72727272727272,1
1,CHN,48,22,30,100,2008,257.0,583.0,0.3818722139673105,1,218,144.0,130.0,274.0,0.2829449611979792,141.72727272727272,1
2,CHN,39,31,22,92,2012,206.0,365.0,0.3074626865671642,0,201,218.0,144.0,362.0,0.2829449611979792,141.72727272727272,1
3,CHN,26,18,26,70,2016,209.0,390.0,0.3064516129032258,0,140,201.0,218.0,419.0,0.2829449611979792,141.72727272727272,1
2,CHN,38,32,19,89,2020,210.0,417.0,0.2759526938239159,0,197,140.0,201.0,341.0,0.2829449611979792,141.72727272727272,1
2,CHN,40,27,24,91,2024,211.0,396.0,0.2859078590785908,0,198,197.0,140.0,337.0,0.2829449611979792,141.72727272727272,1
84,Cabo Verde,0,0,1,1,2024,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,1.0,1
13,Canada,1,0,1,2,1900,0.0,0.0,0.0,0,4,0.0,0.0,0.0,0.0,23.23076923076923,1
3,Canada,4,1,1,6,1904,0.0,0.0,0.0,0,15,4.0,0.0,4.0,0.0,23.23076923076923,1
7,Canada,3,3,10,16,1908,0.0,0.0,0.0,0,25,15.0,4.0,19.0,0.0,23.23076923076923,1
9,Canada,3,2,3,8,1912,0.0,0.0,0.0,0,16,25.0,15.0,40.0,0.0,23.23076923076923,1
12,Canada,3,3,3,9,1920,0.0,0.0,0.0,0,18,16.0,25.0,41.0,0.0,23.23076923076923,1
20,Canada,0,3,1,4,1924,0.0,0.0,0.0,0,7,18.0,16.0,34.0,0.0,23.23076923076923,1
10,Canada,4,4,7,15,1928,0.0,0.0,0.0,0,27,7.0,18.0,25.0,0.0,23.23076923076923,1
17,Canada,1,3,5,9,1936,0.0,0.0,0.0,0,14,27.0,7.0,34.0,0.0,23.23076923076923,1
25,Canada,0,1,2,3,1948,0.0,0.0,0.0,0,4,14.0,27.0,41.0,0.0,23.23076923076923,1
21,Canada,1,2,0,3,1952,0.0,0.0,0.0,0,7,4.0,14.0,18.0,0.0,23.23076923076923,1
15,Canada,2,1,3,6,1956,0.0,0.0,0.0,0,11,7.0,4.0,11.0,0.0,23.23076923076923,1
22,Canada,1,2,1,4,1964,0.0,0.0,0.0,0,8,11.0,7.0,18.0,0.0,23.23076923076923,1
23,Canada,1,3,1,5,1968,0.0,0.0,0.0,0,10,8.0,11.0,19.0,0.0,23.23076923076923,1
27,Canada,0,2,3,5,1972,0.0,0.0,0.0,0,7,10.0,8.0,18.0,0.0,23.23076923076923,1
